,valid_loss_d,valid_loss_g,train_loss_d,train_loss_g
27,3.9315782487392426e-05,-0.5439567565917969,1.5134185863037903e-06,-1.0064865536987782
28,3.956258296966553e-05,-0.5773945450782776,-5.925345855454604e-06,-1.0207576863467693
29,-1.1888332664966583e-05,-0.8097855448722839,-7.194854939977328e-06,-0.9995454028248787
30,-1.546088606119156e-05,-0.6485492587089539,-3.6722631193697453e-06,-1.034248913327853
31,2.3301690816879272e-06,-0.701844334602356,-6.008932056526343e-06,-1.0350424200296402
32,1.6372650861740112e-06,-0.6522015333175659,-1.1892232578247786e-05,-1.0465954380730789
33,2.1792016923427582e-05,-0.46585941314697266,1.2814261329670748e-05,-1.0127780847251415
34,1.0809861123561859e-05,-0.8398592472076416,6.932687635223071e-06,-1.0297165426115196
35,2.8431415557861328e-05,-0.7546386122703552,-7.1677689750989275e-06,-1.0494295582175255
36,6.290152668952942e-06,-0.6448343396186829,5.144819927712281e-06,-1.058060542990764
37,-1.5577301383018494e-05,-0.5760385990142822,3.172627960642179e-06,-1.0379414968192577
38,-1.5730038285255432e-05,-0.7812581062316895,4.069200561692317e-06,-1.04675534243385
39,-9.801238775253296e-06,-0.5849544405937195,1.1836081588019928e-05,-1.0250582471489906
40,-7.0938840508461e-06,-0.605839192867279,-1.0581105016171932e-05,-1.037383950004975
41,-3.095995634794235e-05,-0.8794947862625122,-5.428388249129057e-06,-1.0471554423371952
42,-3.345217555761337e-05,-0.5431258082389832,4.001466246942679e-06,-1.0563943162560463
43,-1.255422830581665e-06,-0.7001339197158813,3.8032885640859604e-07,-1.0261491971711318
44,2.5795772671699524e-05,-0.7718956470489502,-7.536262273788452e-06,-1.0218248044451077
45,-1.688208431005478e-05,-0.6299376487731934,1.249809671814243e-05,-1.052911205838124
46,1.3787299394607544e-05,-0.7358980774879456,-2.1558177346984544e-06,-1.0574432387948036
47,-2.9960647225379944e-06,-0.7357378005981445,-1.0073786446203789e-05,-1.0508611562351386
48,-2.2071413695812225e-05,-0.5537600517272949,2.316567891587814e-06,-1.0662677809596062
49,1.4251098036766052e-05,-0.6562367677688599,-7.306768869360288e-06,-1.0686506020526092
50,1.0921619832515717e-05,-0.6910985708236694,2.863525878638029e-06,-1.08417446911335
51,-2.8405338525772095e-07,-0.5460412502288818,1.0338902939110994e-05,-1.0778601256509621
52,-1.1696480214595795e-05,-0.7030661106109619,1.4444017627586922e-05,-1.0772048036257427
53,-1.4829449355602264e-05,-0.649868905544281,1.4747298943499725e-06,-1.0870524272322655
54,-6.946735084056854e-06,-0.6480221748352051,9.922950994223356e-06,-1.056854532410701
55,-6.013549864292145e-06,-0.684168815612793,-8.660562646885714e-06,-1.0767365867892902
56,-2.2970139980316162e-05,-0.7613165378570557,5.852469863990943e-06,-1.0594880618155003
57,-4.505924880504608e-05,-0.680312991142273,-1.0527049501736958e-06,-1.0795586630702019
58,-9.850598871707916e-06,-0.5907779932022095,5.926607021441062e-06,-1.0831241483489673
59,6.355345249176025e-06,-0.6922405958175659,-8.116903093953928e-06,-1.0784918603797753
60,7.227063179016113e-06,-0.7870008945465088,-1.1915826083471378e-05,-1.0937938913702965
61,-2.0029954612255096e-05,-0.6312628388404846,-7.77124660089612e-06,-1.0906701696415741
62,-4.934147000312805e-06,-0.7926102876663208,-1.1814893999447426e-05,-1.0947795286774635
63,1.5103258192539215e-05,-0.5577384233474731,-8.93706843877832e-06,-1.100289939592282
64,1.0235235095024109e-06,-0.6985193490982056,1.5877109641830126e-07,-1.0786433095733325
65,-2.603791654109955e-05,-0.6867997050285339,2.3845544395347438e-06,-1.0674771616856258
66,-2.769380807876587e-05,-0.7438046932220459,-1.8525829849143822e-05,-1.1047820548216503
67,-4.5388005673885345e-05,-0.6800770163536072,-7.909780833870173e-06,-1.0891382619738579
68,2.6697292923927307e-05,-0.7092378735542297,-7.489405106753111e-06,-1.0899940095841885
69,-1.903250813484192e-05,-0.665758490562439,5.295306133727233e-06,-1.0837750422457855
70,6.712041795253754e-06,-0.8105581998825073,1.5097126985589664e-06,-1.1230662850042183
71,1.1224299669265747e-05,-0.6626724600791931,1.0981806553900242e-05,-1.064388747016589
72,-4.436541348695755e-05,-0.6943594813346863,3.907887730747461e-06,-1.0980415306985378
73,2.7188099920749664e-05,-0.8024757504463196,6.59917714074254e-06,-1.123013296475013
74,1.0233372449874878e-05,-0.6146775484085083,1.0406811876843372e-05,-1.110069212814172
75,-2.4527311325073242e-05,-0.696937620639801,-6.817766310026248e-06,-1.1257219910621643
76,-2.0304694771766663e-05,-0.7772578001022339,-1.6071794865032036e-05,-1.0911598429083824
77,7.4747949838638306e-06,-0.599284291267395,-5.554524250328541e-06,-1.0853154584765434
78,9.13720577955246e-06,-0.8186428546905518,-6.946017189572255e-06,-1.1023705750703812
79,1.3813376426696777e-05,-0.7258195877075195,7.3589617386460304e-06,-1.1344905955096085
