,Date,Close
941,2011-05-03,15.06
942,2011-05-04,15.72
943,2011-05-05,16.69
944,2011-05-06,17.08
945,2011-05-09,15.95
946,2011-05-10,14.65
947,2011-05-11,15.78
948,2011-05-12,14.97
949,2011-05-13,15.79
950,2011-05-16,16.34
951,2011-05-17,16.77
952,2011-05-18,15.33
953,2011-05-19,14.46
954,2011-05-20,16.26
955,2011-05-23,17.29
956,2011-05-24,17.01
957,2011-05-25,16.14
958,2011-05-26,15.22
959,2011-05-27,15.02
960,2011-05-31,14.29
961,2011-06-01,17.4
962,2011-06-02,17.23
963,2011-06-03,16.87
964,2011-06-06,17.18
965,2011-06-07,16.85
966,2011-06-08,17.13
967,2011-06-09,16.37
968,2011-06-10,17.45
969,2011-06-13,17.89
970,2011-06-14,16.58
971,2011-06-15,19.68
972,2011-06-16,20.28
973,2011-06-17,19.45
974,2011-06-20,18.34
975,2011-06-21,16.93
976,2011-06-22,17.3
977,2011-06-23,17.81
978,2011-06-24,19.35
979,2011-06-27,18.78
980,2011-06-28,17.49
981,2011-06-29,15.86
982,2011-06-30,15
983,2011-07-01,14.71
984,2011-07-05,14.97
985,2011-07-06,15.12
986,2011-07-07,14.77
987,2011-07-08,15.02
988,2011-07-11,16.83
989,2011-07-12,18.08
990,2011-07-13,17.98
991,2011-07-14,18.61
992,2011-07-15,17.49
993,2011-07-18,18.98
994,2011-07-19,17.48
995,2011-07-20,17.47
996,2011-07-21,16.01
997,2011-07-22,16.1
998,2011-07-25,17.75
999,2011-07-26,18.69
1000,2011-07-27,20.97
1001,2011-07-28,21.86
1002,2011-07-29,23.58
1003,2011-08-01,22.13
1004,2011-08-02,22.83
1005,2011-08-03,21.89
1006,2011-08-04,29.41
1007,2011-08-05,29.59
1008,2011-08-08,40.49
1009,2011-08-09,29.7
1010,2011-08-10,38.61
1011,2011-08-11,34.86
1012,2011-08-12,32.22
1013,2011-08-15,28.75
1014,2011-08-16,29.33
1015,2011-08-17,28.27
1016,2011-08-18,38.17
1017,2011-08-19,37.74
1018,2011-08-22,37.76
1019,2011-08-23,32.09
1020,2011-08-24,31.71
1021,2011-08-25,35.66
1022,2011-08-26,32.03
1023,2011-08-29,29.25
1024,2011-08-30,29.54
1025,2011-08-31,28.82
1026,2011-09-01,28.6
1027,2011-09-02,30.38
1028,2011-09-06,33.41
1029,2011-09-07,30.19
1030,2011-09-08,31.38
1031,2011-09-09,36.46
1032,2011-09-12,36.69
1033,2011-09-13,34.7
1034,2011-09-14,32.2
1035,2011-09-15,29.8
1036,2011-09-16,28.41
1037,2011-09-19,30.04
1038,2011-09-20,29.85
1039,2011-09-21,33.36
1040,2011-09-22,37.75
1041,2011-09-23,38.48
1042,2011-09-26,36.17
1043,2011-09-27,34.47
1044,2011-09-28,37.2
1045,2011-09-29,35.14
1046,2011-09-30,39.27
1047,2011-10-03,41.45
1048,2011-10-04,37.32
1049,2011-10-05,34.81
1050,2011-10-06,33.31
1051,2011-10-07,32.26
1052,2011-10-10,29.6
1053,2011-10-11,29.66
1054,2011-10-12,27.51
1055,2011-10-13,27.68
1056,2011-10-14,25.42
1057,2011-10-17,29.84
1058,2011-10-18,29.1
1059,2011-10-19,31.82
1060,2011-10-20,31.81
1061,2011-10-21,27.81
1062,2011-10-24,26.5
1063,2011-10-25,29.04
1064,2011-10-26,26.76
1065,2011-10-27,22.84
