,valid_loss_d,valid_loss_g,train_loss_d,train_loss_g
55,-5.492940545082092e-06,-0.5821858644485474,7.030166064699491e-06,-1.0836927741765976
56,1.7415732145309448e-07,-0.6483185291290283,4.635832738131285e-06,-1.0470630303025246
57,-3.0317343771457672e-05,-0.7406402230262756,7.256768488635619e-06,-1.112612376610438
58,-3.550387918949127e-05,-0.7696765065193176,7.660768460482359e-06,-1.0640810492138069
59,3.666616976261139e-06,-0.7145186066627502,5.004791698108117e-06,-1.0665111069877942
60,1.7909333109855652e-06,-0.4371662139892578,-5.206209607422352e-06,-1.070307519286871
61,2.2314488887786865e-06,-0.7329164147377014,-6.236271777500709e-06,-1.082867196450631
62,2.3771077394485474e-05,-0.4429384469985962,3.4025870263576508e-06,-1.130825153241555
63,2.5546178221702576e-06,-0.900210440158844,-1.1005865720411142e-05,-1.1071906921764214
64,-1.1827796697616577e-06,-0.6234813928604126,-2.064645135154327e-06,-1.085602980107069
65,-1.2089498341083527e-05,-0.7161961793899536,5.433335900306702e-06,-1.0935470250745614
66,2.2213906049728394e-05,-0.6115520596504211,7.344312810649474e-06,-1.0968383898337681
67,-1.9691884517669678e-05,-0.7488625049591064,1.1244439519941807e-05,-1.0602874619265397
68,4.930049180984497e-05,-0.5500490665435791,1.9181364526351294e-06,-1.1421979976197083
69,3.5526230931282043e-05,-0.7217112183570862,-3.4162852292259536e-06,-1.1000130747755368
70,-5.28339296579361e-06,-0.6904097199440002,-1.0105179777989784e-05,-1.0968395248055458
71,1.7035752534866333e-05,-0.5550886988639832,1.4721862195680538e-05,-1.1036675224701564
72,-9.34116542339325e-07,-0.7790423631668091,-5.7720462791621685e-06,-1.1047665514051914
73,-3.068242222070694e-05,-0.505260705947876,2.455994642029206e-06,-1.1023711723585923
74,-1.2062489986419678e-05,-0.625384509563446,-2.284844716389974e-06,-1.0958344613512356
75,9.617768228054047e-06,-0.7731310129165649,6.118672899901867e-06,-1.098575934767723
76,3.119930624961853e-06,-0.6036218404769897,-5.284033250063658e-06,-1.1248382752140362
